img_num,img_type,response
1,0,1
1,1,3
5,0,1
8,0,1
9,0,1
3,1,3
2,1,3
5,1,3
2,0,1
7,0,1
10,1,3
6,1,3
11,1,3
8,1,3
4,1,3
3,0,1
7,1,3
10,0,2
6,0,1
11,0,1
4,0,1
9,1,3
