img_num,img_type,response
11,0,1
11,1,3
4,1,3
7,0,1
9,1,3
2,1,3
3,1,3
10,0,2
4,0,2
1,1,3
5,0,1
8,1,3
10,1,3
8,0,1
1,0,1
6,0,1
6,1,3
7,1,3
9,0,1
2,0,1
5,1,3
3,0,1
