img_num,img_type,response
3,0,1
8,0,1
2,0,1
7,1,2
5,0,1
6,1,3
9,0,1
7,0,1
11,1,3
5,1,3
8,1,3
11,0,1
2,1,3
9,1,3
4,0,1
4,1,3
10,1,3
1,0,1
10,0,1
1,1,3
6,0,1
3,1,3
