img_num,img_type,response
5,1,3
8,0,3
11,1,3
10,1,3
9,1,3
3,1,3
1,0,1
7,0,1
3,0,3
2,1,3
4,1,3
8,1,3
5,0,1
2,0,1
7,1,3
4,0,3
11,0,3
6,1,3
10,0,3
1,1,3
9,0,3
6,0,3
