img_num,img_type,response
6,1,3
6,0,1
11,0,1
8,0,3
2,0,1
10,0,1
5,1,3
3,0,2
10,1,3
7,0,1
7,1,1
9,1,3
4,0,2
9,0,1
3,1,3
1,1,3
1,0,1
2,1,3
4,1,3
11,1,3
5,0,1
8,1,3
